Kelas	Prodi
BS1DP-50-REG-GAB0506	S1 Desain Produk
BD4SC-50-REG-03	D4 Sistem Informasi Kota Cerdas
BD3MP-50-REG-04	D3 Manajemen Pemasaran
BS1PR-50-REG-01	S1 Hubungan Masyarakat
BS1AB-50-REG-09	S1 Administrasi Bisnis
BS1AB-50-REG-07	S1 Administrasi Bisnis
BS1AB-50-REG-12	S1 Administrasi Bisnis
BS1AB-50-REG-01	S1 Administrasi Bisnis
BD3SIA-50-REG-01	D3 Sistem Informasi Akuntansi
BS1TK-50-REG-02	S1 Teknik Komputer
JS1SI-26-REG-02	S1 Sistem Informasi - Kampus Jakarta
JS1TT-26-REG-02	S1 Teknik Telekomunikasi - Kampus Jakarta
JS1DKV-26-REG-02	S1 Desain Komunikasi Visual - Kampus Jakarta
JS1DKV-26-REG-03	S1 Desain Komunikasi Visual - Kampus Jakarta
PS1TB-07-REG-02	S1 Teknik Biomedis - Kampus Purwokerto
PS1TI-10-REG-03	S1 Teknik Industri - Kampus Purwokerto
PS1TI-10-REG-01	S1 Teknik Industri - Kampus Purwokerto
PS1SI-10-REG-04	S1 Sistem Informasi - Kampus Purwokerto
PD3TT-14-REG-01	D3 Teknik Telekomunikasi - Kampus Purwokerto
BS1TT-50-REG-06	S1 Teknik Telekomunikasi
BS1KR-50-REG-GAB0506	S1 Kriya
BD3SI-50-REG-02	D3 Sistem Informasi
BD3PH-50-REG-01	D3 Perhotelan
BD3IF-50-REG-01	D3 Rekayasa Perangkat Lunak Aplikasi
BS1TK-50-REG-04	S1 Teknik Komputer
BS1DP-50-REG-GAB0102	S1 Desain Produk
BS1TK-50-REG-05	S1 Teknik Komputer
BD4SC-50-REG-01	D4 Sistem Informasi Kota Cerdas
BD3SI-50-REG-01	D3 Sistem Informasi
BD3SI-50-REG-03	D3 Sistem Informasi
BS1DI-50-REG-GAB0910	S1 Desain Interior
BS1DB-50-REG-02	S1 Penyiaran Konten Digital
PS-49-02	S1 Psikologi
BS1PR-50-REG-05	S1 Hubungan Masyarakat
BS1AB-50-REG-10	S1 Administrasi Bisnis
BS1AB-50-REG-08	S1 Administrasi Bisnis
TB-50-02	S1 Teknik Biomedis
BD3MP-50-REG-03	D3 Manajemen Pemasaran
BD3MP-50-REG-02	D3 Manajemen Pemasaran
BS1TF-50-REG-03	S1 Teknik Fisika
BS1TF-50-REG-04	S1 Teknik Fisika
BD3TK-50-REG-02	D3 Teknologi Komputer
JS1SI-26-REG-10	S1 Sistem Informasi - Kampus Jakarta
JS1SI-26-REG-09	S1 Sistem Informasi - Kampus Jakarta
JS1SI-26-REG-08	S1 Sistem Informasi - Kampus Jakarta
JS1DKV-26-REG-04	S1 Desain Komunikasi Visual - Kampus Jakarta
PS1TB-07-REG-01	S1 Teknik Biomedis - Kampus Purwokerto
PS1TT-14-REG-01	S1 Teknik Telekomunikasi - Kampus Purwokerto
PS1TE-10-REG-02	S1 Teknik Elektro - Kampus Purwokerto
PS1TL-07-REG-01	S1 Teknik Logistik - Kampus Purwokerto
SS1SI-50-REG-GAB01	S1 Sistem Informasi - Kampus Surabaya
SS1TE-50-REG-GAB01	S1 Teknik Elektro - Kampus Surabaya
SS1TI-09-REG-GAB-01sd05	S1 Teknik Industri - Kampus Surabaya
SS1TK-50-REG-01	S1 Teknik Komputer - Kampus Surabaya
SS1TL-50-REG-01	S1 Teknik Logistik - Kampus Surabaya
SS1TT-50-REG-GAB	S1 Teknik Telekomunikasi - Kampus Surabaya
BS1DK-50-REG-GAB1112	S1 Desain Komunikasi Visual
BS1TE-50-REG-03	S1 Teknik Elektro
BS1FA-50-REG-GAB0102	S1 Film
BS1TT-50-REG-09	S1 Teknik Telekomunikasi
BS1TE-50-REG-10	S1 Teknik Elektro
BS1KR-50-REG-GAB0102	S1 Kriya
BD3PH-50-REG-03	D3 Perhotelan
BS1TT-50-REG-03	S1 Teknik Telekomunikasi
BS1DK-50-REG-GAB1718	S1 Desain Komunikasi Visual
BS1TE-50-REG-09	S1 Teknik Elektro
BD4SM-50-REG-02	D4 Teknologi Rekayasa Multimedia
BS1PR-50-REG-04	S1 Hubungan Masyarakat
BS1PR-50-REG-02	S1 Hubungan Masyarakat
BS1DB-50-REG-01	S1 Penyiaran Konten Digital
BS1PR-50-REG-03	S1 Hubungan Masyarakat
PS-49-01	S1 Psikologi
BS1AB-50-REG-11	S1 Administrasi Bisnis
BS1AB-50-REG-04	S1 Administrasi Bisnis
BS1AB-50-REG-14	S1 Administrasi Bisnis
BS1AB-50-REG-15	S1 Administrasi Bisnis
BS1TT-50-REG-01-INT	S1 Teknik Telekomunikasi
BS1TT-50-REG-02	S1 Teknik Telekomunikasi
BS1TK-50-REG-01	S1 Teknik Komputer
BS1TE-50-REG-04	S1 Teknik Elektro
BS1TT-50-REG-01-EXT	S1 Teknik Telekomunikasi
BS1TE-50-REG-08	S1 Teknik Elektro
JS1SI-26-REG-01	S1 Sistem Informasi - Kampus Jakarta
JS1SI-26-REG-07	S1 Sistem Informasi - Kampus Jakarta
JS1SI-26-REG-05	S1 Sistem Informasi - Kampus Jakarta
PS1TB-07-REG-03	S1 Teknik Biomedis - Kampus Purwokerto
PS1SI-10-REG-03	S1 Sistem Informasi - Kampus Purwokerto
BS1TI-50-REG-03	S1 Teknik Industri
BS1TI-50-REG-13	S1 Teknik Industri
BS1TI-50-REG-09	S1 Teknik Industri
BS1MR-50-REG-01	S1 Manajemen Rekayasa
BS1SI-50-REG-01	S1 Sistem Informasi
BS1MR-50-REG-04	S1 Manajemen Rekayasa
BS1TI-50-REG-14	S1 Teknik Industri
BS1TI-50-REG-02	S1 Teknik Industri
BS1TI-50-REG-10	S1 Teknik Industri
BS1TI-50-REG-06	S1 Teknik Industri
BS1TI-50-REG-08	S1 Teknik Industri
BS1TI-50-REG-11	S1 Teknik Industri
BS1SI-50-REG-06	S1 Sistem Informasi
BS1SI-50-REG-02	S1 Sistem Informasi
BS1SI-50-REG-14	S1 Sistem Informasi
BS1SI-50-REG-12	S1 Sistem Informasi
BS1SI-50-REG-07	S1 Sistem Informasi
BS1TT-50-REG-05	S1 Teknik Telekomunikasi
BS1DI-50-REG-GAB0708	S1 Desain Interior
BS1DK-50-REG-GAB0708	S1 Desain Komunikasi Visual
BS1DK-50-REG-GAB0304	S1 Desain Komunikasi Visual
BS1DI-50-REG-GAB0506	S1 Desain Interior
BS1TI-50-REG-01-INT	S1 Teknik Industri
BS1SI-50-REG-INT	S1 Sistem Informasi
BS1MR-50-REG-02	S1 Manajemen Rekayasa
BD3TT-50-REG-GAB	D3 Teknologi Telekomunikasi
BD3SIA-50-REG-02	D3 Sistem Informasi Akuntansi
BS1SI-50-REG-03	S1 Sistem Informasi
BD3IF-50-REG-02	D3 Rekayasa Perangkat Lunak Aplikasi
BS1SI-50-REG-10	S1 Sistem Informasi
BS1TT-50-REG-04	S1 Teknik Telekomunikasi
BD4SM-50-REG-01	D4 Teknologi Rekayasa Multimedia
BS1DK-50-REG-GAB1314	S1 Desain Komunikasi Visual
PS-49-04	S1 Psikologi
BS1PR-50-REG-06	S1 Hubungan Masyarakat
BD4SC-50-REG-02	D4 Sistem Informasi Kota Cerdas
BS1TE-50-REG-01-INT	S1 Teknik Elektro
TB-50-03	S1 Teknik Biomedis
BD3MP-50-REG-01	D3 Manajemen Pemasaran
TB-50-01	S1 Teknik Biomedis
BS1TL-50-REG-01	S1 Teknik Logistik
BS1TL-50-REG-04	S1 Teknik Logistik
BS1TL-50-REG-02	S1 Teknik Logistik
BS1TL-50-REG-03	S1 Teknik Logistik
BS1TI-50-REG-12	S1 Teknik Industri
BS1TI-50-REG-15	S1 Teknik Industri
BS1TI-50-REG-04	S1 Teknik Industri
BS1TI-50-REG-01	S1 Teknik Industri
BS1TI-50-REG-07	S1 Teknik Industri
BS1SI-50-REG-08	S1 Sistem Informasi
BS1SI-50-REG-09	S1 Sistem Informasi
BS1SI-50-REG-04	S1 Sistem Informasi
BS1TI-50-REG-05	S1 Teknik Industri
BS1MR-50-REG-03	S1 Manajemen Rekayasa
BS1SI-50-REG-05	S1 Sistem Informasi
BS1SI-50-REG-11	S1 Sistem Informasi
BS1SI-50-REG-13	S1 Sistem Informasi
PS1DK-10-REG-01	S1 Desain Komunikasi Visual - Kampus Purwokerto
PS1TP-05-REG-02	S1 Teknologi Pangan - Kampus Purwokerto
PS1DK-10-REG-02	S1 Desain Komunikasi Visual - Kampus Purwokerto
PS1DP-06-REG-01	S1 Desain Produk - Kampus Purwokerto
PS1TT-14-REG-02	S1 Teknik Telekomunikasi - Kampus Purwokerto
PS1TI-10-REG-04	S1 Teknik Industri - Kampus Purwokerto
